model,region,n,n_mal,roc_auc,f1@0.5,fnr@0.5,fpr@0.5,tpr@0.01,tpr@0.001,novel_tpr@0.01,singleton_tpr@0.01,known_tpr@0.01,lowcons_tpr@0.01,n_novel,n_single,fpr_at_iid_thr
gtformer_plain_s4,year2014,5797,2252,0.9948676869580901,0.9673550966022652,,,0.8903197158081705,,,,,,,,0.00930888575458392
gtformer_plain_s4,year2016,109193,45134,0.932247308552232,0.8145494694228056,,,0.5323038064430363,,,,,,,,0.02586677906305125
gtformer_plain_s4,year2017,99144,21359,0.6047982887352812,0.1256548658517225,,,0.05318601058101971,,,,,,,,0.017676929999357202
gtformer_plain_s4,year2018,104292,39350,0.668775269004574,0.19626168224299065,,,0.08373570520965692,,,,,,,,0.012857626805457177
gtformer_plain_s4,year2019,91050,41585,0.9298245146355653,0.6101938497215553,,,0.3189130696164482,,,,,,,,0.010775295663600526
gtformer_plain_s4,year2020,102073,46355,0.9182129124593932,0.4943956764362578,,,0.2044871103440837,,,,,,,,0.0068559531928640656
gtformer_plain_s4,year2021,81155,35627,0.9123600370202685,0.34216467769432796,,,0.0882757459230359,,,,,,,,0.0039316464593217365
gtformer_plain_s4,year2022,86416,41648,0.9271806062718673,0.4945888613238414,,,0.19696023818670763,,,,,,,,0.0026358112937812724
gtformer_plain_s4,year2023,54354,7892,0.8571055118142531,0.3202170963364993,,,0.10922453117080588,,,,,,,,0.0014635616202488054
gtformer_plain_s4,year2024,48427,794,0.7620946911421451,0.16071428571428573,,,0.041561712846347604,,,,,,,,0.0013016186257426574
gtformer_plain_s4,year2025,44663,23,0.643879538725261,0.0,,,0.0,,,,,,,,0.0012768817204301076
gtformer_tuned,IID,15286,6981,0.9952503574465172,0.9709418837675351,0.028362698753760185,0.025045153521974714,0.927087809769374,0.6665234207133649,0.15384615384615385,0.7775,0.9377283800243605,0.8795505617977528,13.0,400.0,
gtformer_tuned,NEAR,208337,66493,0.8554473559137472,0.6594804601203627,0.47922337689681616,0.0274597445080511,0.29266238551426466,0.0742333779495586,0.11373390557939914,0.1043956043956044,0.36781002638522425,0.08554245850372864,4194.0,14924.0,
gtformer_tuned,FAR,612430,213274,0.8707701139642088,0.35211251526878773,0.7830677907292966,0.008144685285953362,0.2448540375291878,0.07492240029258138,0.19850909888182416,0.11782936315021876,0.5471175260536203,0.10645698963693022,22805.0,131648.0,
gtformer_tuned,year2013,9489,4729,0.994902852238379,0.9713442899283607,,,0.9374074857263692,,,,,,,,0.011134453781512605
gtformer_tuned,year2014,5797,2252,0.9956095443761632,0.9700892857142858,,,0.905417406749556,,,,,,,,0.008180535966149507
gtformer_tuned,year2016,109193,45134,0.9400727218908005,0.8004890098810244,,,0.5005760623919883,,,,,,,,0.01895127928940508
gtformer_tuned,year2017,99144,21359,0.6815688683649676,0.22366780928638205,,,0.0678402546935718,,,,,,,,0.00930770714147972
