model,region,metric,n,lgbm,model_value,diff,ci_lo,ci_hi
mlp_plain_s3,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.5027953330092367,0.15684248906174036,0.15411476057365092,0.15944070551774422
mlp_plain_s4,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.3507737656595431,-0.17052922864060882,-0.17370324695832645,-0.1672950536146662
mlp_plain_s4,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.1742966142107773,-0.13543156890796376,-0.1485455412494039,-0.12207916070577016
mlp_plain_s4,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.1767622621281158,-0.1289198606271777,-0.1356204770838917,-0.12242026266416511
mlp_plain_s4,FAR,tpr@1%FPR,213274,0.40527209130039293,0.4599154139745117,0.054643322674118755,0.05262221367817922,0.056767350919474435
mlp_plain_s4,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.27612365709274284,-0.01885551414163561,-0.024910107432580583,-0.013066213549660132
mlp_plain_s4,FAR,singleton_tpr@1%FPR,131648,0.34595284394749637,0.4481268230432669,0.10217397909577053,0.09935452874331546,0.10468882930238209
proto_plain,NEAR,tpr@1%FPR,66493,0.5213029943001519,0.3684899162317838,-0.15281307806836814,-0.15586640699020946,-0.1495943181989082
proto_plain,NEAR,novel_tpr@1%FPR,4194,0.30972818311874106,0.18502622794468288,-0.12470195517405819,-0.13662374821173107,-0.11254172627563186
proto_plain,NEAR,singleton_tpr@1%FPR,14924,0.3056821227552935,0.17006164567140178,-0.13562047708389172,-0.1417850442240686,-0.12965692843741625
proto_plain,FAR,tpr@1%FPR,213274,0.40527209130039293,0.48038204375591964,0.07510995245552671,0.07308415465551356,0.07715016832806623
proto_plain,FAR,novel_tpr@1%FPR,22805,0.29497917123437845,0.24823503617627712,-0.04674413505810132,-0.05222648541986406,-0.04086823065117301
