dataset,subset,model,threshold_rule,TP,FP,TN,FN,accuracy,balanced_acc,precision,recall_TPR,specificity_TNR,FPR,FNR,F1,MCC,ROC_AUC,PR_AUC
EMBER2024,Dot_Net test,LightGBM,val benign 1% FPR,28899,349,29604,1101,0.9758143879372175,0.9758242062564685,0.9880675601750547,0.9633,0.9883484125129369,0.011651587487063065,0.0367,0.9755266000540103,0.951929268788606,0.9979518100579798,0.9980315595679592
EMBER2024,Dot_Net challenge-vs-test-benign,LightGBM,val benign 1% FPR,674,349,29604,155,0.9836267948801247,0.900688078391571,0.6588465298142717,0.8130277442702051,0.9883484125129369,0.011651587487063065,0.18697225572979492,0.7278617710583153,0.7237471420102759,0.9867807373489879,0.8525021410964505
EMBER2024,Dot_Net test,GT-Former (tuned),val benign 1% FPR,28337,387,29566,1663,0.9658065484629627,0.9658232124773256,0.9865269461077845,0.9445666666666667,0.9870797582879846,0.01292024171201549,0.055433333333333334,0.9650909338600913,0.9324604373157267,0.9966066014533882,0.9964265187755736
EMBER2024,Dot_Net challenge-vs-test-benign,GT-Former (tuned),val benign 1% FPR,684,387,29566,145,0.982717172373465,0.9060851143671527,0.6386554621848739,0.8250904704463209,0.9870797582879846,0.01292024171201549,0.17490952955367914,0.72,0.7174491480130959,0.9813704316899855,0.8246283038376512
EMBER2024,Dot_Net test,MLP,val benign 1% FPR,28011,389,29564,1989,0.9603355962170367,0.9603564935064934,0.9863028169014084,0.9337,0.987012987012987,0.012987012987012988,0.0663,0.9592808219178082,0.9219886206551217,0.9961937140408862,0.9962240437185279
EMBER2024,Dot_Net challenge-vs-test-benign,MLP,val benign 1% FPR,661,389,29564,168,0.9819050094210903,0.8921795936271208,0.6295238095238095,0.7973462002412546,0.987012987012987,0.012987012987012988,0.20265379975874548,0.7035657264502395,0.6995289697914157,0.9818588325570132,0.8143732372335961
EMBER2024,Dot_Net test,Tuned GT-Former + LightGBM,val benign 1% FPR,28869,382,29571,1131,0.9747635647924208,0.9747733432377391,0.9869406174147892,0.9623,0.9872466864754782,0.012753313524521751,0.0377,0.9744645659988861,0.9498246157654461,0.9978360025150513,0.9978671184749374
EMBER2024,Dot_Net challenge-vs-test-benign,Tuned GT-Former + LightGBM,val benign 1% FPR,693,382,29571,136,0.9831719836267949,0.9115968052401516,0.6446511627906977,0.8359469240048251,0.9872466864754782,0.012753313524521751,0.1640530759951749,0.7279411764705882,0.725881602142736,0.9857631801684319,0.8543474523890753
EMBER2024,APK test,LightGBM,val benign 1% FPR,18922,203,23797,5078,0.8899791666666667,0.8899791666666667,0.9893856209150327,0.7884166666666667,0.9915416666666667,0.008458333333333333,0.21158333333333335,0.8775420289855073,0.7965644603057769,0.9842493420138889,0.9853701253583631
EMBER2024,APK challenge-vs-test-benign,LightGBM,val benign 1% FPR,78,203,23797,178,0.9842925461741425,0.6481145833333333,0.2775800711743772,0.3046875,0.9915416666666667,0.008458333333333333,0.6953125,0.2905027932960894,0.2828921865635427,0.9115794270833333,0.2322525746825091
EMBER2024,APK test,GT-Former (tuned),val benign 1% FPR,17498,204,23796,6502,0.8602916666666667,0.8602916666666667,0.9884758784318156,0.7290833333333333,0.9915,0.0085,0.27091666666666664,0.8391923648745864,0.7467535670710366,0.9774016493055556,0.9794853199783395
EMBER2024,APK challenge-vs-test-benign,GT-Former (tuned),val benign 1% FPR,76,204,23796,180,0.9841688654353562,0.6441875,0.2714285714285714,0.296875,0.9915,0.0085,0.703125,0.2835820895522388,0.2758772132819904,0.8890715332031249,0.24207706944297439
EMBER2024,APK test,MLP,val benign 1% FPR,17507,215,23785,6493,0.86025,0.86025,0.9878681864349397,0.7294583333333333,0.9910416666666667,0.008958333333333334,0.2705416666666667,0.8392215138296343,0.7464921900838599,0.9771411840277776,0.9790168760387481
EMBER2024,APK challenge-vs-test-benign,MLP,val benign 1% FPR,83,215,23785,173,0.9840039577836411,0.6576302083333334,0.2785234899328859,0.32421875,0.9910416666666667,0.008958333333333334,0.67578125,0.2996389891696751,0.2924567411892239,0.891683837890625,0.22878992349326016
EMBER2024,APK test,Tuned GT-Former + LightGBM,val benign 1% FPR,19385,194,23806,4615,0.8998125,0.8998125,0.9900914244854181,0.8077083333333334,0.9919166666666667,0.008083333333333333,0.19229166666666667,0.889648683999174,0.8135470505824871,0.9854845980902778,0.9867806692366825
EMBER2024,APK challenge-vs-test-benign,Tuned GT-Former + LightGBM,val benign 1% FPR,87,194,23806,169,0.9850346306068601,0.6658802083333333,0.3096085409252669,0.33984375,0.9919166666666667,0.008083333333333333,0.66015625,0.3240223463687151,0.31682373056692703,0.9128709309895834,0.29683008762034
EMBER2024,ELF test,LightGBM,val benign 1% FPR,2794,54,2935,206,0.956587076306562,0.9566335452213672,0.9810393258426966,0.9313333333333333,0.9819337571094011,0.018066242890598862,0.06866666666666667,0.9555403556771546,0.9143604492355342,0.9844797591167617,0.9874011778000111
EMBER2024,ELF challenge-vs-test-benign,LightGBM,val benign 1% FPR,154,54,2935,232,0.9152592592592592,0.6904487438396747,0.7403846153846154,0.39896373056994816,0.9819337571094011,0.018066242890598862,0.6010362694300518,0.5185185185185185,0.504091087278251,0.9122577256503553,0.564075459891574
EMBER2024,ELF test,GT-Former (tuned),val benign 1% FPR,2795,67,2922,205,0.9545834029053264,0.9546255715400914,0.9765897973445143,0.9316666666666666,0.9775844764135162,0.022415523586483774,0.06833333333333333,0.9535994541112248,0.9101410133348244,0.9816174863387979,0.9756733938885357
EMBER2024,ELF challenge-vs-test-benign,GT-Former (tuned),val benign 1% FPR,148,67,2922,238,0.9096296296296297,0.6805020827663436,0.6883720930232559,0.38341968911917096,0.9775844764135162,0.022415523586483774,0.616580310880829,0.4925124792013311,0.4704419611156753,0.9137415774939892,0.608314384272722
EMBER2024,ELF test,MLP,val benign 1% FPR,2790,98,2891,210,0.9485723827016196,0.9486065573770492,0.9660664819944599,0.93,0.9672131147540983,0.03278688524590164,0.07,0.9476902173913043,0.897779574409089,0.9881404037024645,0.9892726329635639
EMBER2024,ELF challenge-vs-test-benign,MLP,val benign 1% FPR,222,98,2891,164,0.9223703703703704,0.7711713242164274,0.69375,0.5751295336787565,0.9672131147540983,0.03278688524590164,0.42487046632124353,0.6288951841359773,0.5891824079035543,0.9346797497560139,0.6454886821279515
EMBER2024,ELF test,Tuned GT-Former + LightGBM,val benign 1% FPR,2831,74,2915,169,0.9594256136249791,0.9594546113527378,0.974526678141136,0.9436666666666667,0.9752425560388089,0.024757443961191034,0.05633333333333333,0.958848433530906,0.9193183781393501,0.9859273447083752,0.9860319660700946
EMBER2024,ELF challenge-vs-test-benign,Tuned GT-Former + LightGBM,val benign 1% FPR,171,74,2915,215,0.9143703703703704,0.7091238686929796,0.6979591836734694,0.4430051813471503,0.9752425560388089,0.024757443961191034,0.5569948186528497,0.5419968304278923,0.5130208301721243,0.9244266975455773,0.5956915182716971
EMBER2024,PDF test,LightGBM,val benign 1% FPR,5667,137,5863,333,0.9608333333333333,0.9608333333333333,0.9763955892487939,0.9445,0.9771666666666666,0.022833333333333334,0.0555,0.9601829888173501,0.9221588209595682,0.9906348333333335,0.9926944628500614
EMBER2024,PDF challenge-vs-test-benign,LightGBM,val benign 1% FPR,520,137,5863,285,0.9379867744305658,0.8115646997929606,0.791476407914764,0.6459627329192547,0.9771666666666666,0.022833333333333334,0.35403726708074534,0.7113543091655267,0.6814001003199208,0.9044585921325052,0.7710361514669972
EMBER2024,PDF test,GT-Former (tuned),val benign 1% FPR,5585,149,5851,415,0.953,0.953,0.9740146494593652,0.9308333333333333,0.9751666666666666,0.024833333333333332,0.06916666666666667,0.9519345491733424,0.9068916609313419,0.9752109999999999,0.9822319555782365
EMBER2024,PDF challenge-vs-test-benign,GT-Former (tuned),val benign 1% FPR,487,149,5851,318,0.931373989713446,0.7900678053830228,0.7657232704402516,0.6049689440993788,0.9751666666666666,0.024833333333333332,0.3950310559006211,0.6759195003469812,0.6436757492893155,0.8405768115942029,0.6999119196046697
EMBER2024,PDF test,MLP,val benign 1% FPR,5468,102,5898,532,0.9471666666666667,0.9471666666666667,0.9816876122082585,0.9113333333333333,0.983,0.017,0.08866666666666667,0.9452031114952463,0.8966389161266409,0.9833585833333334,0.9870743116786197
EMBER2024,PDF challenge-vs-test-benign,MLP,val benign 1% FPR,467,102,5898,338,0.9353416605437178,0.7815621118012422,0.820738137082601,0.5801242236024845,0.983,0.017,0.41987577639751555,0.6797671033478894,0.6570048695766202,0.8652215320910972,0.7133046748882867
EMBER2024,PDF test,Tuned GT-Former + LightGBM,val benign 1% FPR,5707,140,5860,293,0.9639166666666666,0.9639166666666668,0.9760560971438345,0.9511666666666667,0.9766666666666667,0.023333333333333334,0.04883333333333333,0.963450662615008,0.9281351423422928,0.9864616111111111,0.9898247693572779
EMBER2024,PDF challenge-vs-test-benign,Tuned GT-Former + LightGBM,val benign 1% FPR,527,140,5860,278,0.938574577516532,0.8156625258799172,0.7901049475262368,0.6546583850931676,0.9766666666666667,0.023333333333333334,0.3453416149068323,0.7160326086956522,0.6857253887700773,0.8867804347826087,0.7497350397686403
LAMDA,IID,LightGBM,val benign 1% FPR,6547,86,8219,434,0.9659819442627241,0.9637380242804047,0.9870345243479571,0.9378312562670105,0.9896447922937989,0.010355207706201084,0.06216874373298954,0.9618040252681064,0.9321654239432187,0.9962600559995951,0.9959495036586705
LAMDA,IID,GT-Former (tuned),val benign 1% FPR,6437,78,8227,544,0.9593091717911815,0.9563411344165349,0.9880276285495011,0.9220742014038104,0.9906080674292594,0.009391932570740518,0.07792579859618966,0.9539122703023118,0.9193195275738189,0.9952503574465172,0.9946538835345046
LAMDA,IID,MLP,val benign 1% FPR,6450,75,8230,531,0.9603558811984823,0.9574528472008956,0.9885057471264368,0.923936398796734,0.9909692956050572,0.009030704394942806,0.07606360120326601,0.9551310528653931,0.9213780670847453,0.9954128264720592,0.9950130912832073
LAMDA,IID,MLP + LightGBM,val benign 1% FPR,6604,84,8221,377,0.9698416852021458,0.9679409433414391,0.9874401913875598,0.9459962756052142,0.989885611077664,0.010114388922335942,0.054003724394785846,0.9662740507718195,0.9397294269624844,0.9963792062759839,0.9961118375567739
LAMDA,NEAR,LightGBM,val benign 1% FPR,29709,799,141045,36784,0.8196047749559607,0.7205829811450855,0.9738101481578603,0.4467989111635811,0.9943670511265897,0.005632948873410226,0.5532010888364188,0.612550386078494,0.5816842225744766,0.8296331888310059,0.8274875031567588
LAMDA,NEAR,GT-Former (tuned),val benign 1% FPR,23437,1865,139979,43056,0.7843829948592905,0.6696624726482734,0.9262904118251521,0.35247319266689725,0.9868517526296495,0.013148247370350526,0.6475268073331027,0.5106378343047007,0.48424454716087484,0.8554473559137472,0.795471590956792
LAMDA,NEAR,MLP,val benign 1% FPR,26990,1468,140376,39503,0.8033426611691634,0.6977789954087836,0.9484152083772577,0.4059073887476877,0.9896506020698795,0.010349397930120414,0.5940926112523123,0.5685037545681457,0.5369219901615474,0.8430939743876119,0.7980824526930606
LAMDA,NEAR,MLP + LightGBM,val benign 1% FPR,28192,893,140951,38301,0.8118721110508456,0.7088444154142038,0.9692968884304625,0.423984479569278,0.9937043512591297,0.0062956487408702515,0.576015520430722,0.5899265521354287,0.561797460752935,0.8416622848415614,0.8242056620767333
LAMDA,FAR,LightGBM,val benign 1% FPR,48420,1385,397771,164854,0.7285583658540568,0.6117810359611586,0.9721915470334304,0.22703189324530884,0.9965301786770084,0.003469821322991512,0.7729681067546912,0.36810235708665456,0.3896659240675651,0.885536847363408,0.857060986546019
LAMDA,FAR,GT-Former (tuned),val benign 1% FPR,30510,1433,397723,182764,0.6992358310337508,0.5697326686140846,0.9551388410606393,0.1430554122865422,0.9964099249416268,0.0035900750583731673,0.8569445877134578,0.24884082261833396,0.298828812878448,0.8707701139642088,0.8140717326846287
LAMDA,FAR,MLP,val benign 1% FPR,53120,818,398338,160154,0.7371585324037033,0.6235099741587941,0.984834439541696,0.24906927239138385,0.9979506759262043,0.002049324073795709,0.7509307276086161,0.39758693471850065,0.415256478655569,0.9184227489308593,0.8882633692074033
LAMDA,FAR,MLP + LightGBM,val benign 1% FPR,48532,492,398664,164742,0.7301993697238868,0.6131622192569469,0.9899640992167101,0.22755703930155574,0.998767399212338,0.0012326007876619668,0.7724429606984442,0.37005238316723726,0.39733482767236217,0.9163157583087918,0.8939358667131845
BODMAS,test Apr-Sep 2020,LightGBM,val benign 1% FPR,27593,118,32490,108,0.9962526322771063,0.9962412399579996,0.9957417631987298,0.996101223782535,0.9963812561334642,0.0036187438665358194,0.0038987762174650734,0.995921461055367,0.9924555778465453,0.9999297145878431,0.9999196327710017
BODMAS,test Apr-Sep 2020,GT-Former (tuned),val benign 1% FPR,27505,82,32526,196,0.9953904060753784,0.9952048614234317,0.9970275854569182,0.9929244431608967,0.9974852796859667,0.002514720314033366,0.007075556839103282,0.9949717841122848,0.9907236774304743,0.9997636697714721,0.9997488695476952
BODMAS,test Apr-Sep 2020,MLP,val benign 1% FPR,27354,343,32265,347,0.9885589215539969,0.9884772426713638,0.9876159872910424,0.9874733764124038,0.9894811089303238,0.010518891069676153,0.012526623587596116,0.9875446767031301,0.9769651086987189,0.9993584771989859,0.9992964159769067
BODMAS,test Apr-Sep 2020,Tuned GT-Former + LightGBM,val benign 1% FPR,27581,55,32553,120,0.9970982772057239,0.9969906618876911,0.9980098422347663,0.9956680264250388,0.9983132973503435,0.001686702649656526,0.004331973574961193,0.9968375589569366,0.9941591884300972,0.9999160321424787,0.9999066757147679
