format,group,feature,index,mean_abs_shap,mean_shap
Win64,challenge,datadirectories[12],2417,0.2381416981858376,-0.013299790734062162
Win64,challenge,authenticode[7],2479,0.23392322194628445,-0.04164900861799683
Win64,challenge,datadirectories[4],2409,0.22985421054822755,-0.012496924171362184
Win64,challenge,histogram[122],129,0.21934306127418401,-0.18928529538587932
Win64,challenge,section[5],775,0.19323272837566777,-0.05610606171736681
Win64,challenge,section[66],836,0.18766240864759792,-0.1755437557203567
Win64,challenge,strings[84],603,0.17108480322383213,-0.08433834484302954
Win64,challenge,strings[52],571,0.16890410764849137,-0.09961925224024393
Dot_Net,benign,header[43],739,2.6500426559361765,-2.1306349227373222
Dot_Net,benign,header[28],724,0.7139798944912682,-0.48232781964828686
Dot_Net,benign,authenticode[6],2478,0.6040454739596731,-0.4853434508255802
Dot_Net,benign,imports[618],1612,0.5377743943329084,-0.4547047284260427
Dot_Net,benign,header[26],722,0.3890692657362973,-0.21020107726366122
Dot_Net,benign,datadirectories[13],2418,0.3842429601811967,-0.19085461113779698
Dot_Net,benign,authenticode[5],2477,0.34915990230133365,-0.32133079599592573
Dot_Net,benign,strings[162],681,0.34301461322619325,-0.10148138182062996
Dot_Net,benign,datadirectories[12],2417,0.3248343341588471,-0.18409042461231487
Dot_Net,benign,datadirectories[8],2413,0.31482105375924235,-0.24423949785390758
Dot_Net,benign,strings[131],650,0.3106749557725861,-0.1203457582054063
Dot_Net,benign,header[6],702,0.31006177826996983,-0.24994064935609833
Dot_Net,benign,strings[113],632,0.2992828588853361,-0.1616441267200277
Dot_Net,benign,strings[171],690,0.29552743026392453,-0.13158291420972737
Dot_Net,benign,section[154],924,0.28787800207296393,-0.1768917123801815
Dot_Net,malware,header[43],739,2.866701710661869,2.464058247592037
Dot_Net,malware,datadirectories[13],2418,0.8130784498688006,0.25345583986198317
Dot_Net,malware,header[28],724,0.5443504609674877,0.29733923566904746
Dot_Net,malware,imports[618],1612,0.5253385521464417,0.3232405005379517
Dot_Net,malware,section[154],924,0.49968558076582786,0.40555010595038943
Dot_Net,malware,header[6],702,0.4349426830698873,0.30078904424904696
Dot_Net,malware,header[26],722,0.4001410276520844,0.2525336254212275
Dot_Net,malware,section[221],991,0.3714634591941707,0.1962228958372309
Dot_Net,malware,strings[113],632,0.3276655254525787,0.13462346640772443
Dot_Net,malware,header[0],696,0.31881961728570357,0.18210542910333485
Dot_Net,malware,datadirectories[12],2417,0.31794209336654106,0.20086214093057228
Dot_Net,malware,strings[131],650,0.31703065432662236,0.11167408811371723
Dot_Net,malware,header[46],742,0.31585945887923234,0.05981956260088255
Dot_Net,malware,strings[171],690,0.2977584980025569,0.15274697756737304
Dot_Net,malware,strings[162],681,0.2910010331135371,0.16181676643794157
Dot_Net,challenge,header[43],739,2.318917741723975,-1.210105268728582
Dot_Net,challenge,datadirectories[28],2433,0.8761861231908743,0.8667640613303309
Dot_Net,challenge,header[28],724,0.6028598225824542,0.2375675861376713
Dot_Net,challenge,strings[113],632,0.5852373162379748,0.46813721988076346
Dot_Net,challenge,imports[618],1612,0.49642404271547313,-0.3528492776045401
Dot_Net,challenge,strings[162],681,0.44413929866566343,0.3780071053907526
Dot_Net,challenge,header[26],722,0.43199492747341606,0.249421061810985
Dot_Net,challenge,datadirectories[13],2418,0.42431753791503957,-0.3589966683635176
Dot_Net,challenge,strings[155],674,0.3880710093250058,0.28829253054797094
Dot_Net,challenge,strings[77],596,0.37374883444114354,0.28951962499064476
Dot_Net,challenge,strings[123],642,0.33368825514119,0.28447831362086506
Dot_Net,challenge,authenticode[6],2478,0.33240016697882635,0.039596176496619964
Dot_Net,challenge,strings[131],650,0.2966038365534771,-0.053871972433302606
Dot_Net,challenge,header[6],702,0.29296918242767844,-0.15271776470168405
Dot_Net,challenge,section[154],924,0.2663947666233565,-0.019945000445391107
APK,benign,histogram[33],40,0.4368498099855701,-0.07571787615535008
APK,benign,strings[118],637,0.2694102558150394,-0.0986306875193162
APK,benign,strings[133],652,0.23842653799041633,-0.138864272363864
APK,benign,strings[167],686,0.21526120527950374,-0.0760108059831352
APK,benign,strings[98],617,0.19877411481067256,-0.1471105552683307
APK,benign,strings[165],684,0.18629614702459446,-0.11734568921797624
APK,benign,strings[131],650,0.18163423457503095,-0.03246823854796979
APK,benign,strings[92],611,0.17067271296233086,-0.09520086437891463
APK,benign,strings[162],681,0.16026998100542073,-0.10286441608123342
APK,benign,histogram[20],27,0.15990744953691616,-0.04149669689540117
APK,benign,byteentropy[52],315,0.14743158435176515,-0.029404039286148403
APK,benign,byteentropy[255],518,0.14386371463827877,-0.11161543310229365
APK,benign,histogram[64],71,0.14305414555015317,-0.07613327598367829
APK,benign,byteentropy[161],424,0.14223089390283822,0.017474846963672075
APK,benign,strings[16],535,0.13823059794689244,-0.044151017563281963
APK,malware,histogram[33],40,0.3940673596699365,0.10024115376108501
APK,malware,strings[118],637,0.3287653189681574,0.17885788675280564
APK,malware,strings[165],684,0.26087409627392066,0.1248165808664887
APK,malware,strings[167],686,0.24421688846495923,0.14800203104931683
APK,malware,strings[133],652,0.23307951957286002,0.10855574598263763
APK,malware,byteentropy[52],315,0.18121125773492908,0.055942271675577845
APK,malware,strings[162],681,0.17884505851451532,0.08725659903132993
